,idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,foi_inadimplente_bc,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,possibilidade_inadimplencia
0,21.0,60000.0,Aluguel,2.0,0,Educativo,B,8000.0,11.26,0
1,40.0,70000.0,Hipoteca,6.0,0,Educativo,A,18000.0,7.9,0
2,29.0,115000.0,Hipoteca,3.0,1,Médico,C,22000.0,15.23,0
3,26.0,84996.0,Aluguel,0.0,0,Médico,B,9000.0,11.26,0
4,23.0,24000.0,Própria,7.0,0,Educativo,A,5000.0,7.49,0
5,27.0,56253.0,Aluguel,11.0,0,Empreendimento,B,10000.0,11.36,0
6,32.0,19200.0,Aluguel,0.0,0,Empreendimento,B,5000.0,9.99,1
7,24.0,18000.0,Própria,0.0,0,Melhora do lar,A,6250.0,6.54,1
8,23.0,80000.0,Aluguel,6.0,0,Empreendimento,A,6500.0,7.51,0
9,24.0,145000.0,Hipoteca,0.0,0,Pessoal,B,7000.0,10.99,0
10,30.0,36000.0,Aluguel,6.0,1,Pagamento de débitos,C,4500.0,13.49,0
11,22.0,40000.0,Aluguel,6.0,1,Educativo,D,7200.0,17.58,0
12,24.0,103000.0,Hipoteca,8.0,0,Pessoal,B,8000.0,10.74,0
13,35.0,50000.0,Hipoteca,5.0,0,Melhora do lar,C,6000.0,13.49,0
14,22.0,32000.0,Aluguel,1.0,1,Educativo,D,5400.0,16.29,1
15,25.0,12996.0,Própria,1.0,0,Médico,D,3600.0,14.59,1
16,32.0,48000.0,Aluguel,3.0,0,Pagamento de débitos,C,9000.0,13.99,0
17,30.0,57000.0,Hipoteca,6.0,0,Pessoal,A,4000.0,8.0,0
18,42.0,85000.0,Aluguel,3.0,1,Empreendimento,C,5750.0,12.99,0
19,24.0,25000.0,Hipoteca,3.0,0,Empreendimento,A,9000.0,7.14,0
20,24.0,28500.0,Aluguel,3.0,0,Pagamento de débitos,B,2500.0,11.36,0
21,22.0,80000.0,Hipoteca,5.0,0,Empreendimento,B,9500.0,11.71,0
22,31.0,30000.0,Aluguel,0.0,1,Educativo,D,6600.0,16.49,1
23,21.0,30000.0,Aluguel,2.0,0,Médico,A,4150.0,6.76,0
24,31.0,48996.0,Hipoteca,0.0,1,Melhora do lar,D,8500.0,14.11,1
25,26.0,58000.0,Aluguel,10.0,1,Educativo,C,9600.0,13.99,0
26,25.0,191000.0,Hipoteca,1.0,0,Médico,B,10000.0,12.53,0
27,31.0,135000.0,Hipoteca,9.0,0,Empreendimento,A,10000.0,7.14,0
28,24.0,64000.0,Hipoteca,8.0,0,Educativo,A,5000.0,7.88,1
29,25.0,110000.0,Hipoteca,7.0,0,Educativo,A,8000.0,7.14,0
30,39.0,60000.0,Hipoteca,1.0,1,Educativo,C,17000.0,14.65,0
31,28.0,48000.0,Aluguel,5.0,0,Pagamento de débitos,B,15000.0,11.99,1
32,36.0,31000.0,Aluguel,3.0,0,Empreendimento,A,7100.0,8.9,0
33,22.0,96000.0,Hipoteca,3.0,1,Educativo,C,11400.0,13.04,0
34,21.0,40000.0,Aluguel,3.0,0,Educativo,D,7000.0,14.46,0
35,25.0,56950.0,Aluguel,9.0,0,Médico,C,5000.0,13.92,1
36,21.0,41900.0,Aluguel,2.0,1,Empreendimento,C,16000.0,12.84,1
37,29.0,101000.0,Própria,6.0,0,Melhora do lar,B,12000.0,12.18,0
38,23.0,42000.0,Aluguel,4.0,0,Pessoal,A,10000.0,5.42,0
39,31.0,215000.0,Hipoteca,2.0,0,Médico,B,15000.0,10.99,0
40,26.0,65000.0,Hipoteca,11.0,0,Empreendimento,A,12000.0,7.9,0
41,24.0,111239.0,Hipoteca,1.0,0,Educativo,A,14000.0,7.9,0
42,30.0,43000.0,Aluguel,1.0,0,Médico,A,3200.0,8.0,0
43,21.0,68004.0,Hipoteca,5.0,0,Pagamento de débitos,B,16000.0,11.26,0
44,25.0,25000.0,Aluguel,5.0,0,Médico,B,9000.0,11.49,1
45,36.0,40000.0,Própria,4.0,0,Empreendimento,B,14000.0,10.99,0
46,24.0,55000.0,Hipoteca,8.0,0,Médico,B,15000.0,9.91,0
47,21.0,52000.0,Hipoteca,5.0,0,Pagamento de débitos,A,13250.0,5.99,0
48,29.0,50000.0,Própria,3.0,0,Médico,B,4200.0,9.91,0
49,27.0,12000.0,Própria,0.0,1,Educativo,D,8125.0,14.42,1
50,29.0,35000.0,Aluguel,12.0,0,Pagamento de débitos,A,1800.0,5.42,0
51,38.0,104800.0,Hipoteca,6.0,0,Melhora do lar,A,14000.0,6.03,0
52,29.0,32997.0,Aluguel,7.0,0,Pagamento de débitos,A,10000.0,5.79,0
53,24.0,33996.0,Aluguel,2.0,1,Educativo,D,5000.0,14.96,1
54,22.0,24000.0,Própria,1.0,0,Empreendimento,A,8000.0,7.51,0
55,23.0,45000.0,Aluguel,1.0,0,Pagamento de débitos,C,2000.0,13.49,0
56,31.0,60000.0,Hipoteca,5.0,0,Médico,A,7200.0,6.03,0
57,29.0,90000.0,Hipoteca,14.0,0,Melhora do lar,B,15000.0,11.11,0
58,23.0,95004.0,Aluguel,2.0,0,Educativo,A,5000.0,9.63,0
59,35.0,27996.0,Aluguel,14.0,0,Médico,B,8500.0,11.58,0
60,30.0,28800.0,Aluguel,1.0,0,Pagamento de débitos,C,8000.0,12.73,0
61,22.0,45000.0,Aluguel,3.0,0,Empreendimento,B,5000.0,12.42,0
62,31.0,52000.0,Aluguel,4.0,0,Empreendimento,B,10000.0,11.83,0
63,28.0,115000.0,Hipoteca,11.0,0,Melhora do lar,A,5000.0,7.51,0
64,23.0,34000.0,Aluguel,0.0,0,Médico,A,1000.0,7.37,0
65,25.0,42000.0,Aluguel,2.0,0,Médico,B,6600.0,10.65,0
66,24.0,54000.0,Própria,8.0,0,Pessoal,B,10000.0,10.99,0
67,28.0,61000.0,Aluguel,9.0,0,Pessoal,B,25000.0,9.91,1
68,34.0,50725.0,Aluguel,1.0,1,Pessoal,C,5400.0,13.16,0
69,23.0,74000.0,Aluguel,3.0,0,Médico,B,25000.0,10.36,1
70,31.0,65000.0,Hipoteca,4.0,0,Pagamento de débitos,B,20000.0,11.71,0
71,23.0,34000.0,Aluguel,7.0,0,Educativo,B,10000.0,10.36,1
72,22.0,24449.0,Própria,2.0,0,Empreendimento,B,1800.0,11.89,0
73,33.0,108000.0,Aluguel,11.0,0,Empreendimento,B,3000.0,11.36,0
74,36.0,46000.0,Aluguel,2.0,0,Pagamento de débitos,C,10000.0,12.53,0
75,41.0,50000.0,Aluguel,0.0,0,Pessoal,B,6000.0,8.88,0
76,26.0,31104.0,Aluguel,1.0,0,Pagamento de débitos,B,4000.0,9.99,0
77,22.0,60000.0,Própria,7.0,1,Empreendimento,D,15000.0,16.49,0
78,47.0,52000.0,Hipoteca,4.0,0,Pagamento de débitos,A,12000.0,7.29,0
79,25.0,95000.0,Aluguel,4.0,0,Empreendimento,B,15000.0,12.42,0
80,22.0,76296.0,Hipoteca,6.0,0,Empreendimento,A,18000.0,7.88,0
81,31.0,100000.0,Hipoteca,6.0,0,Melhora do lar,C,13000.0,12.61,0
82,25.0,43000.0,Aluguel,2.0,0,Empreendimento,A,7800.0,7.14,0
83,25.0,58020.0,Aluguel,9.0,0,Pessoal,A,2000.0,6.91,0
84,27.0,68000.0,Aluguel,4.0,0,Melhora do lar,A,8700.0,7.88,0
85,23.0,54996.0,Hipoteca,7.0,0,Pagamento de débitos,B,3300.0,8.9,0
86,35.0,30000.0,Aluguel,0.0,0,Educativo,A,6475.0,5.42,0
87,26.0,40000.0,Aluguel,1.0,0,Pessoal,B,12000.0,11.58,0
88,23.0,50000.0,Aluguel,4.0,0,Pagamento de débitos,B,6000.0,11.49,0
89,25.0,61440.0,Aluguel,9.0,0,Empreendimento,B,8000.0,10.36,0
90,22.0,29000.0,Aluguel,2.0,0,Educativo,B,10500.0,9.99,1
91,25.0,44000.0,Hipoteca,4.0,1,Médico,D,5550.0,14.11,1
92,23.0,50000.0,Hipoteca,3.0,0,Pessoal,B,10000.0,10.99,0
93,26.0,108000.0,Hipoteca,4.0,0,Pessoal,A,9000.0,5.79,0
94,23.0,70000.0,Hipoteca,5.0,0,Educativo,B,20000.0,12.21,0
95,25.0,80140.0,Hipoteca,4.0,0,Pagamento de débitos,B,11300.0,10.37,0
96,28.0,34000.0,Aluguel,1.0,0,Empreendimento,B,4800.0,11.49,0
97,22.0,78413.0,Hipoteca,6.0,0,Educativo,B,17500.0,10.65,0
98,21.0,24000.0,Hipoteca,0.0,0,Empreendimento,A,3000.0,7.9,0
99,27.0,22800.0,Hipoteca,11.0,0,Médico,B,2500.0,10.99,0
100,53.0,95000.0,Própria,24.0,0,Pessoal,A,6000.0,5.42,0
101,26.0,31200.0,Aluguel,8.0,0,Pessoal,A,5000.0,8.63,0
102,39.0,65000.0,Hipoteca,3.0,1,Educativo,D,6000.0,15.62,0
103,25.0,45000.0,Aluguel,9.0,0,Pagamento de débitos,B,12000.0,9.62,0
104,24.0,25000.0,Aluguel,0.0,0,Melhora do lar,B,8500.0,12.21,1
105,29.0,24960.0,Aluguel,13.0,0,Empreendimento,A,4000.0,5.42,0
106,22.0,81600.0,Hipoteca,6.0,0,Pessoal,A,1300.0,6.39,0
107,25.0,90000.0,Hipoteca,7.0,0,Pagamento de débitos,A,6000.0,7.14,0
108,27.0,44640.0,Aluguel,0.0,0,Médico,B,12800.0,11.83,0
109,24.0,85000.0,Hipoteca,8.0,0,Educativo,B,20000.0,11.11,0
110,26.0,87000.0,Hipoteca,9.0,0,Pagamento de débitos,C,25000.0,12.73,0
111,22.0,54000.0,Aluguel,4.0,1,Pagamento de débitos,C,9000.0,15.96,0
112,22.0,43000.0,Aluguel,1.0,0,Empreendimento,D,7500.0,14.96,1
113,24.0,78000.0,Hipoteca,8.0,0,Pagamento de débitos,A,3600.0,5.42,0
114,22.0,73000.0,Hipoteca,6.0,0,Educativo,B,7000.0,10.59,0
115,24.0,65000.0,Hipoteca,6.0,0,Pessoal,B,11000.0,11.49,0
116,32.0,230000.0,Aluguel,0.0,0,Melhora do lar,A,15000.0,5.99,0
117,23.0,35500.0,Aluguel,2.0,1,Melhora do lar,D,9000.0,15.99,1
118,22.0,104000.0,Aluguel,3.0,0,Médico,C,15900.0,13.49,0
119,22.0,64312.0,Hipoteca,4.0,1,Empreendimento,D,5000.0,14.91,0
120,23.0,20664.0,Aluguel,4.0,1,Educativo,C,4550.0,13.72,0
121,29.0,60000.0,Aluguel,13.0,0,Melhora do lar,D,17000.0,14.96,0
122,28.0,31200.0,Aluguel,3.0,0,Pagamento de débitos,A,3600.0,6.39,0
123,30.0,36000.0,Hipoteca,14.0,0,Melhora do lar,B,7000.0,10.65,0
124,34.0,60000.0,Aluguel,1.0,0,Educativo,B,10000.0,9.62,0
125,22.0,30000.0,Aluguel,0.0,0,Médico,A,7000.0,8.9,0
126,26.0,47000.0,Aluguel,0.0,1,Melhora do lar,D,25000.0,15.28,1
127,28.0,72000.0,Hipoteca,9.0,0,Melhora do lar,B,18000.0,11.89,0
128,22.0,90000.0,Hipoteca,6.0,0,Pagamento de débitos,A,16000.0,6.03,0
129,33.0,62400.0,Aluguel,4.0,0,Educativo,B,15000.0,11.99,0
130,34.0,89000.0,Aluguel,3.0,0,Melhora do lar,D,35000.0,18.25,1
131,30.0,75000.0,Aluguel,2.0,0,Médico,C,6000.0,12.68,0
132,30.0,100000.0,Aluguel,13.0,0,Pagamento de débitos,A,12000.0,7.88,0
133,31.0,28800.0,Aluguel,0.0,0,Pessoal,C,6200.0,12.23,0
134,27.0,91800.0,Hipoteca,4.0,0,Médico,D,25000.0,16.07,1
135,22.0,88200.0,Hipoteca,6.0,0,Pagamento de débitos,A,21000.0,6.17,0
136,25.0,60000.0,Hipoteca,6.0,0,Empreendimento,D,8400.0,16.89,0
137,33.0,63996.0,Hipoteca,15.0,0,Educativo,A,3200.0,5.42,0
138,22.0,56368.0,Hipoteca,5.0,0,Educativo,C,6000.0,12.99,0
139,23.0,30188.0,Aluguel,3.0,0,Pessoal,C,8000.0,14.65,0
140,23.0,32000.0,Aluguel,0.0,1,Médico,C,8500.0,13.16,0
141,39.0,48000.0,Aluguel,3.0,1,Médico,C,8400.0,12.53,0
142,22.0,35000.0,Aluguel,4.0,0,Pessoal,C,5000.0,13.23,0
143,23.0,17688.0,Aluguel,0.0,0,Pagamento de débitos,B,1700.0,11.11,0
144,31.0,190000.0,Hipoteca,4.0,0,Pagamento de débitos,A,9000.0,6.03,0
145,31.0,111000.0,Hipoteca,3.0,0,Pessoal,A,5150.0,6.62,0
146,25.0,54000.0,Hipoteca,9.0,0,Pagamento de débitos,B,12000.0,12.53,1
147,23.0,52800.0,Aluguel,3.0,0,Educativo,A,4500.0,6.76,0
148,25.0,42000.0,Aluguel,2.0,0,Educativo,A,12000.0,7.9,0
149,37.0,44000.0,Aluguel,0.0,0,Pessoal,B,1700.0,10.59,1
150,25.0,44000.0,Aluguel,1.0,0,Educativo,A,2800.0,6.92,0
151,23.0,60000.0,Aluguel,1.0,0,Educativo,C,11000.0,14.22,0
152,27.0,120000.0,Hipoteca,2.0,0,Empreendimento,B,16000.0,12.21,0
153,26.0,28800.0,Aluguel,10.0,0,Médico,B,15000.0,10.0,1
154,23.0,34320.0,Aluguel,5.0,1,Pagamento de débitos,F,7000.0,18.3,1
155,23.0,44000.0,Aluguel,7.0,0,Médico,C,9800.0,13.11,1
156,26.0,85000.0,Hipoteca,0.0,0,Empreendimento,B,20000.0,10.37,0
157,28.0,13500.0,Própria,0.0,0,Empreendimento,A,6700.0,9.63,1
158,24.0,36000.0,Hipoteca,3.0,0,Médico,C,8000.0,13.61,0
159,31.0,86000.0,Aluguel,0.0,0,Pessoal,A,2000.0,5.99,0
160,28.0,130000.0,Hipoteca,2.0,1,Melhora do lar,D,12000.0,13.55,0
161,35.0,175000.0,Própria,19.0,0,Médico,C,24000.0,12.73,0
162,23.0,74758.0,Hipoteca,3.0,0,Pagamento de débitos,B,11050.0,10.37,0
163,26.0,72000.0,Hipoteca,1.0,1,Melhora do lar,D,10500.0,15.28,0
164,27.0,35004.0,Aluguel,7.0,0,Médico,B,5000.0,10.75,0
165,42.0,30000.0,Aluguel,0.0,0,Pagamento de débitos,A,4200.0,7.49,0
166,28.0,70910.0,Aluguel,8.0,1,Médico,E,3000.0,17.44,1
167,26.0,28800.0,Própria,8.0,0,Educativo,A,6000.0,8.9,0
168,26.0,250000.0,Hipoteca,11.0,0,Melhora do lar,B,9000.0,9.99,0
169,37.0,63000.0,Aluguel,1.0,0,Educativo,A,14900.0,9.63,0
170,28.0,65000.0,Aluguel,2.0,1,Melhora do lar,C,7200.0,13.98,0
171,32.0,85000.0,Aluguel,5.0,0,Médico,B,12800.0,10.75,0
172,30.0,71400.0,Aluguel,0.0,0,Melhora do lar,C,9600.0,12.61,0
173,35.0,273700.0,Hipoteca,8.0,0,Médico,D,25000.0,14.59,1
174,25.0,26000.0,Aluguel,4.0,1,Médico,C,8000.0,12.87,1
175,31.0,110000.0,Hipoteca,4.0,0,Pagamento de débitos,B,6000.0,11.99,0
176,26.0,120000.0,Aluguel,3.0,0,Melhora do lar,A,5000.0,7.68,0
177,21.0,35000.0,Aluguel,5.0,0,Médico,A,9000.0,8.94,0
178,23.0,51000.0,Aluguel,1.0,0,Médico,A,7000.0,6.99,0
179,27.0,258000.0,Aluguel,11.0,1,Educativo,E,35000.0,18.64,1
180,23.0,20800.0,Aluguel,0.0,0,Pagamento de débitos,B,3000.0,11.46,0
181,37.0,14400.0,Aluguel,2.0,0,Pessoal,A,6950.0,7.66,1
182,25.0,49000.0,Própria,4.0,0,Empreendimento,A,2500.0,6.76,0
183,28.0,42000.0,Aluguel,5.0,0,Pessoal,B,4800.0,12.42,0
184,22.0,22292.0,Aluguel,5.0,0,Pagamento de débitos,D,3500.0,16.49,1
185,24.0,36000.0,Aluguel,1.0,0,Pessoal,B,8000.0,12.12,1
186,23.0,65000.0,Aluguel,6.0,0,Pessoal,A,8000.0,9.32,0
187,24.0,87550.0,Hipoteca,5.0,0,Educativo,B,3600.0,11.86,0
188,25.0,177160.0,Hipoteca,2.0,0,Empreendimento,B,24000.0,11.11,0
189,24.0,32304.0,Aluguel,8.0,0,Médico,B,1500.0,9.91,1
190,36.0,52000.0,Hipoteca,8.0,0,Pagamento de débitos,B,2275.0,11.86,0
191,26.0,87500.0,Outro,3.0,1,Empreendimento,D,7500.0,15.05,0
192,23.0,36000.0,Aluguel,0.0,0,Educativo,C,3000.0,12.29,1
193,24.0,35000.0,Aluguel,0.0,0,Pessoal,B,4200.0,10.37,0
194,22.0,128165.0,Aluguel,6.0,0,Pagamento de débitos,A,14000.0,8.94,0
195,25.0,50000.0,Aluguel,2.0,0,Médico,E,7000.0,15.57,1
196,27.0,62900.0,Hipoteca,1.0,0,Médico,B,8000.0,11.46,1
197,22.0,41000.0,Aluguel,3.0,0,Pagamento de débitos,C,15000.0,12.73,1
198,23.0,60000.0,Aluguel,3.0,0,Pessoal,B,17000.0,11.11,0
199,24.0,110000.0,Aluguel,8.0,0,Empreendimento,A,3000.0,7.88,0
200,22.0,44582.0,Aluguel,6.0,0,Melhora do lar,A,4000.0,5.99,1
201,25.0,75000.0,Hipoteca,9.0,0,Pagamento de débitos,C,8500.0,13.22,0
202,35.0,40000.0,Aluguel,6.0,1,Pagamento de débitos,C,5100.0,13.72,0
203,34.0,28500.0,Aluguel,0.0,0,Educativo,B,9175.0,12.69,1
204,29.0,21996.0,Aluguel,4.0,1,Pagamento de débitos,C,2500.0,13.11,1
205,22.0,57000.0,Hipoteca,1.0,0,Empreendimento,A,3200.0,5.99,0
206,23.0,250000.0,Hipoteca,7.0,0,Educativo,B,8800.0,10.0,0
207,29.0,39000.0,Hipoteca,12.0,0,Pessoal,A,16000.0,5.99,0
208,25.0,56004.0,Aluguel,3.0,0,Pessoal,C,7000.0,14.22,0
209,28.0,48000.0,Aluguel,1.0,0,Empreendimento,B,2650.0,11.26,0
210,48.0,85000.0,Hipoteca,0.0,0,Educativo,A,10000.0,7.51,0
211,22.0,71000.0,Aluguel,6.0,0,Educativo,A,1500.0,6.99,0
212,28.0,15000.0,Própria,2.0,0,Pessoal,B,4375.0,12.42,1
