id_pessoa,id_bc,id_emprestimo,idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,foi_inadimplente_bc,tempo_primeira_solicitacao_credito_bc,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,possibilidade_inadimplencia,porcentagem_salario_emprestimo
AspC7qDK-5Esh,UwfbzeaW-9tQt,kZHfWgGv-0dWJ,21.0,60000.0,Aluguel,2.0,N,3.0,Educativo,B,8000.0,11.26,0.0,0.13
2NjYU2iT-fGSm,viRQ2WYn-yJ2G,j7elJxsY-eTEQ,40.0,70000.0,Hipoteca,6.0,N,14.0,Educativo,A,18000.0,7.9,0.0,0.26
nTOKgZCT-YPUD,IEHObaim-KPC9,t9dKvc6a-4eAL,29.0,115000.0,Hipoteca,3.0,S,7.0,Médico,C,22000.0,15.23,0.0,0.19
J3jGNZeh-OzZE,GvqL52S8-S8OH,NaelpPC5-t2kz,26.0,84996.0,Aluguel,0.0,N,2.0,Médico,B,9000.0,11.26,0.0,0.11
flpZfspk-bUuL,fbc8cPEp-uJEB,4NHe4vfi-QLvW,23.0,54500.0,Aluguel,2.0,N,2.0,Pagamento de débitos,A,8000.0,,0.0,0.15
HIWfRjYs-Z9XU,yGtY95es-ueBR,tilhQ4Ny-usUE,40.0,44000.0,Aluguel,0.0,N,12.0,Pessoal,A,6000.0,,1.0,0.14
OQXEoNPl-hL0f,Ue0IMCKa-d0AQ,QxdBboWP-KKFh,23.0,24000.0,Própria,7.0,N,2.0,Educativo,A,5000.0,7.49,0.0,0.21
GiP48I8v-4QMo,ZSKhw1Wq-Grfc,uYH6bhrT-ewlf,27.0,56253.0,Aluguel,11.0,N,8.0,Empreendimento,B,10000.0,11.36,0.0,0.18
rz6KYxBX-SCcJ,gngDxDmO-YH6A,rexKO1Fs-lZn3,32.0,19200.0,Aluguel,0.0,N,6.0,Empreendimento,B,5000.0,9.99,1.0,0.26
IJKlCu5g-hK22,b8bJFyze-0WBF,Ki2Rr7Di-8Is1,24.0,18000.0,Própria,0.0,N,4.0,Melhora do lar,A,6250.0,6.54,1.0,0.35
RlXKEDYF-bxj9,GLxc73MO-DFdr,fjmNsAsB-FbKd,,45000.0,Própria,8.0,N,4.0,Médico,B,7200.0,6.03,0.0,0.16
491clhel-r6QN,qZFFgtOj-MfKf,vBqQxCT6-Cp8J,24.0,54400.0,Hipoteca,8.0,S,4.0,Pagamento de débitos,C,12000.0,,0.0,0.22
mpfjpS76-GpMH,lusooYZf-PCbH,U3GtqMpT-D0SF,23.0,80000.0,Aluguel,6.0,N,3.0,Empreendimento,A,6500.0,7.51,0.0,0.08
TgE5b4GO-Dt74,oUk9piHQ-eXRY,BH1pq4aj-trt0,24.0,145000.0,Hipoteca,0.0,N,2.0,Pessoal,B,7000.0,10.99,0.0,0.05
K58ydOiW-a2I3,o65QapOc-tR0Z,sxSX7s1R-Wo1r,30.0,36000.0,Aluguel,6.0,S,6.0,Pagamento de débitos,C,4500.0,13.49,0.0,0.13
4lYeiWLm-P0QY,jqGfQoOO-HquX,UFYAZiMe-d1Lo,22.0,40000.0,Aluguel,6.0,S,2.0,Educativo,D,7200.0,17.58,0.0,0.18
l1Q6uewq-icSh,Z6Q1EgJd-Mcdi,nzYZR2uU-JhcK,24.0,103000.0,Hipoteca,8.0,N,3.0,Pessoal,B,8000.0,10.74,0.0,0.08
SAEUImFs-iXAT,45kngxnO-kwyt,6bKNACAB-up1b,35.0,50000.0,Hipoteca,5.0,N,6.0,Melhora do lar,C,6000.0,13.49,0.0,0.12
GF79eYM4-xcMP,DOMft98J-Z3qm,UJDU4wt1-yGWW,22.0,32000.0,Aluguel,1.0,S,2.0,Educativo,D,5400.0,16.29,1.0,0.17
k8ulBFhb-YH5F,DwdrMYTa-8pLl,4yMDblss-nJt8,29.0,24000.0,Hipoteca,7.0,N,6.0,Médico,A,10000.0,,0.0,0.42
YIHuehGl-eWpc,CRO9thKh-NYDn,IHcxHFyD-ddZE,29.0,175000.0,Hipoteca,2.0,N,9.0,Melhora do lar,A,10000.0,,0.0,0.06
dejgBgka-cvSN,WNto6491-J99J,Y7yIUHWQ-138k,25.0,12996.0,Própria,1.0,N,3.0,Médico,D,3600.0,14.59,1.0,0.28
pB5tO95i-S3K9,A4YTvklP-hZTH,EXrxXz9O-HOTs,32.0,48000.0,Aluguel,3.0,N,8.0,Pagamento de débitos,C,9000.0,13.99,0.0,0.19
8AYaI8lG-eovU,5s9U5yce-1d0J,jAAgFdfl-6Y7e,30.0,57000.0,Hipoteca,6.0,N,7.0,Pessoal,A,4000.0,8.0,0.0,0.07
OkOjGYdY-cbh2,3xNzMDQK-vFI3,MGhhCMif-2t4J,42.0,85000.0,Aluguel,3.0,S,15.0,Empreendimento,C,5750.0,12.99,0.0,0.07
SnPZ9sS7-m50a,6A9m9HOG-1ZuR,aMoqyZ6H-soNo,24.0,25000.0,Hipoteca,3.0,N,4.0,Empreendimento,A,9000.0,7.14,0.0,0.36
WXg2X7ay-4bg1,1luoSXcH-95hi,WXzIIE8A-nTiU,34.0,120000.0,Aluguel,,N,3.0,Pagamento de débitos,A,2000.0,,,0.04
ERBmpIPN-lMaW,Cic79wRE-9nWL,5XRNp8To-RvH8,24.0,28500.0,Aluguel,3.0,N,4.0,Pagamento de débitos,B,2500.0,11.36,0.0,0.09
ER2fcnk6-XhNN,zumQqjxf-0gct,P6kekLZk-o2vx,22.0,80000.0,Hipoteca,5.0,N,3.0,Empreendimento,B,9500.0,11.71,0.0,0.12
F3ZPAIUX-FkIM,Bw3siA6F-Uqzz,hDW1Xe27-WuzF,31.0,30000.0,Aluguel,0.0,S,8.0,Educativo,D,6600.0,16.49,1.0,0.22
QO0MxJ5C-J0Qj,GTYNk7NY-DMUO,9QA7jdmD-WbIq,21.0,30000.0,Aluguel,2.0,N,3.0,Médico,A,4150.0,6.76,0.0,0.14
